city,facility_type,n_facilities,heat_share,flood_share,water_share,compound_share,heat_days_threshold,water_cat_threshold,subset
Los Angeles,school,7249,0.718581873361843,0.11187750034487516,0.9998620499379225,0.7365153814319216,1,4,school_all_health_core
Madrid,health,4532,1.0,0.0011032656663724624,0.9042365401588702,0.9042365401588702,1,4,school_all_health_core
Madrid,school,4763,1.0,0.0018895653999580096,0.8979634684022675,0.8979634684022675,1,4,school_all_health_core
Manila,health,8861,0.8518225933867509,0.20810292292066357,0.0,0.17266674190271977,1,4,school_all_health_core
Manila,school,10302,0.8381867598524558,0.2145214521452145,0.0,0.16967579110852263,1,4,school_all_health_core
Mexico City,health,12956,0.0,0.06684161778326644,1.0,0.06684161778326644,1,4,school_all_health_core
Mexico City,school,14632,0.0,0.12158283214871514,1.0,0.12158283214871514,1,4,school_all_health_core
Miami,health,7121,0.3262182277769976,0.06684454430557506,0.0,0.0002808594298553574,1,4,school_all_health_core
Miami,school,2377,0.33529659234328985,0.013462347496844763,0.0,0.002103491796381994,1,4,school_all_health_core
Nairobi,health,1046,0.0,0.0009560229445506692,0.0,0.0,1,4,school_all_health_core
Nairobi,school,1757,0.0,0.0011383039271485487,0.0,0.0,1,4,school_all_health_core
New York City,health,26174,0.9998853824405899,0.06223733475968518,0.41869794452510123,0.4564453274241614,1,4,school_all_health_core
New York City,school,11968,0.9998328877005348,0.07469919786096256,0.466326871657754,0.5113636363636364,1,4,school_all_health_core
Paris,health,4906,0.9932735426008968,0.09050142682429678,0.0,0.09050142682429678,1,4,school_all_health_core
Paris,school,7355,0.9917063222297756,0.10237933378653977,0.0,0.10224337185588035,1,4,school_all_health_core
Rome,health,3591,1.0,0.08382066276803118,1.0,1.0,1,4,school_all_health_core
Rome,school,2986,1.0,0.12424648359008707,0.9996651038178165,0.9996651038178165,1,4,school_all_health_core
Rotterdam,health,1774,0.6685456595264938,0.4830890642615558,0.0,0.29255918827508454,1,4,school_all_health_core
Rotterdam,school,2339,0.639162035057717,0.5352714835399743,0.0,0.30055579307396324,1,4,school_all_health_core
Sao Paulo,health,18876,0.9323479550752278,0.015575333757151939,0.0,0.015575333757151939,1,4,school_all_health_core
Sao Paulo,school,17716,0.8558365319485212,0.021223752540076767,0.0,0.02116730638970422,1,4,school_all_health_core
Shanghai,health,283,1.0,0.5547703180212014,0.9257950530035336,0.9964664310954063,1,4,school_all_health_core
Shanghai,school,305,0.9868852459016394,0.6622950819672131,0.8852459016393442,0.980327868852459,1,4,school_all_health_core
Tokyo,health,19588,0.9945885235858689,0.14646722483152952,0.0,0.14437410659587502,1,4,school_all_health_core
Tokyo,school,15256,0.9947561615102255,0.1662952281069743,0.0,0.16334556895647614,1,4,school_all_health_core
Accra,health,506,0.642292490118577,0.0,0.0,0.0,1,4,source_confidence_ge_0p6
Accra,school,871,0.7313432835820896,0.008036739380022962,0.0,0.0,1,4,source_confidence_ge_0p6
Bangkok,health,14682,0.984879444217409,0.491622394769105,0.24192889252145483,0.5624574308677291,1,4,source_confidence_ge_0p6
Bangkok,school,7041,0.9786962079250107,0.6378355347251811,0.2996733418548502,0.6970600766936514,1,4,source_confidence_ge_0p6
Bogota,health,4091,0.0,0.009533121486189195,0.0,0.0,1,4,source_confidence_ge_0p6
Bogota,school,3085,0.0,0.020745542949756886,0.0,0.0,1,4,source_confidence_ge_0p6
Buenos Aires,health,6152,1.0,0.119148244473342,0.0,0.119148244473342,1,4,source_confidence_ge_0p6
Buenos Aires,school,5929,1.0,0.19396188227357058,0.0,0.19396188227357058,1,4,source_confidence_ge_0p6
Cairo,health,9743,1.0,0.0921687365287899,1.0,1.0,1,4,source_confidence_ge_0p6
Cairo,school,3342,1.0,0.1172950329144225,1.0,1.0,1,4,source_confidence_ge_0p6
Delhi,health,15180,1.0,0.18972332015810275,1.0,1.0,1,4,source_confidence_ge_0p6
Delhi,school,11494,1.0,0.27918914216112756,1.0,1.0,1,4,source_confidence_ge_0p6
Dhaka,health,3366,1.0,0.20469399881164588,1.0,1.0,1,4,source_confidence_ge_0p6
Dhaka,school,3744,1.0,0.31009615384615385,1.0,1.0,1,4,source_confidence_ge_0p6
Ho Chi Minh City,health,6203,0.999355150733516,0.16556504916975656,0.011768499113332258,0.16604868611961954,1,4,source_confidence_ge_0p6
Ho Chi Minh City,school,8184,0.999266862170088,0.23973607038123168,0.012952101661779082,0.24034701857282503,1,4,source_confidence_ge_0p6
Houston,health,16608,1.0,0.19719412331406552,0.0,0.19719412331406552,1,4,source_confidence_ge_0p6
Houston,school,4818,1.0,0.11581569115815692,0.0,0.11581569115815692,1,4,source_confidence_ge_0p6
Istanbul,health,14513,0.999586577551161,0.003927513263970233,0.6248880314201061,0.6264039137325157,1,4,source_confidence_ge_0p6
Istanbul,school,11083,0.9984661192817829,0.004872326987277813,0.5726788775602274,0.5746638996661554,1,4,source_confidence_ge_0p6
Jakarta,health,7374,0.854759967453214,0.033224844046650395,0.0,0.013154326010306482,1,4,source_confidence_ge_0p6
Jakarta,school,12042,0.8243647234678625,0.03894701876764657,0.0,0.01868460388639761,1,4,source_confidence_ge_0p6
Johannesburg,health,3157,0.0,0.0,1.0,0.0,1,4,source_confidence_ge_0p6
Johannesburg,school,3631,0.0,0.0,1.0,0.0,1,4,source_confidence_ge_0p6
Karachi,health,1520,0.8717105263157895,0.05526315789473684,0.9763157894736842,0.8894736842105263,1,4,source_confidence_ge_0p6
Karachi,school,2232,0.9314516129032258,0.044802867383512544,0.9614695340501792,0.9265232974910395,1,4,source_confidence_ge_0p6
Kolkata,health,5564,1.0,0.31542056074766356,0.0,0.31542056074766356,1,4,source_confidence_ge_0p6
Kolkata,school,5172,1.0,0.26894818252126834,0.0,0.26894818252126834,1,4,source_confidence_ge_0p6
Lagos,health,968,0.6652892561983471,0.07644628099173553,0.0,0.015495867768595042,1,4,source_confidence_ge_0p6
Lagos,school,2568,0.7461059190031153,0.08255451713395638,0.0,0.028037383177570093,1,4,source_confidence_ge_0p6
Lima,health,7541,0.0,0.006365203553905317,1.0,0.006365203553905317,1,4,source_confidence_ge_0p6
Lima,school,6542,0.0,0.015132986854173035,1.0,0.015132986854173035,1,4,source_confidence_ge_0p6
London,health,14450,0.0,0.05079584775086505,0.0,0.0,1,4,source_confidence_ge_0p6
London,school,10711,0.0,0.06834095789375408,0.0,0.0,1,4,source_confidence_ge_0p6
Los Angeles,health,22084,0.598261184568013,0.06588480347763086,1.0,0.6134305379460243,1,4,source_confidence_ge_0p6
Los Angeles,school,6167,0.7215826171558294,0.11739905951029674,1.0,0.7397437976325604,1,4,source_confidence_ge_0p6
Madrid,health,7120,1.0,0.0011235955056179776,0.8926966292134831,0.8926966292134831,1,4,source_confidence_ge_0p6
Madrid,school,3973,1.0,0.0017618927762396174,0.8937830354895545,0.8937830354895545,1,4,source_confidence_ge_0p6
Manila,health,14285,0.8449422471123557,0.21540077003850192,0.0,0.18060903045152257,1,4,source_confidence_ge_0p6
Manila,school,8333,0.8360734429377175,0.21756870274810994,0.0,0.17280691227649106,1,4,source_confidence_ge_0p6
Mexico City,health,17031,0.0,0.08948388233221773,1.0,0.08948388233221773,1,4,source_confidence_ge_0p6
Mexico City,school,10260,0.0,0.12368421052631579,1.0,0.12368421052631579,1,4,source_confidence_ge_0p6
Miami,health,8352,0.3388409961685824,0.05651340996168582,0.0,0.0005986590038314176,1,4,source_confidence_ge_0p6
Miami,school,2010,0.33432835820895523,0.011940298507462687,0.0,0.0014925373134328358,1,4,source_confidence_ge_0p6
Nairobi,health,1334,0.0,0.0007496251874062968,0.0,0.0,1,4,source_confidence_ge_0p6
Nairobi,school,1514,0.0,0.001321003963011889,0.0,0.0,1,4,source_confidence_ge_0p6
New York City,health,32338,0.9999690766281155,0.059743954480796585,0.4277011565341085,0.4633867276887872,1,4,source_confidence_ge_0p6
New York City,school,10292,0.9999028371550719,0.07335794792071512,0.4723085891954916,0.516517683637777,1,4,source_confidence_ge_0p6
Paris,health,6641,0.9945791296491492,0.08643276614967625,0.0,0.0861316066857401,1,4,source_confidence_ge_0p6
Paris,school,5998,0.992164054684895,0.10653551183727909,0.0,0.10636878959653218,1,4,source_confidence_ge_0p6
Rome,health,5020,1.0,0.08904382470119522,1.0,1.0,1,4,source_confidence_ge_0p6
Rome,school,2616,1.0,0.12538226299694188,0.9996177370030581,0.9996177370030581,1,4,source_confidence_ge_0p6
Rotterdam,health,2449,0.661902817476521,0.4797876684360964,0.0,0.2890975908534096,1,4,source_confidence_ge_0p6
Rotterdam,school,1887,0.629570747217806,0.5405405405405406,0.0,0.3036565977742448,1,4,source_confidence_ge_0p6
Sao Paulo,health,28242,0.9121875221301607,0.015898307485305574,0.0,0.015862899228099994,1,4,source_confidence_ge_0p6
Sao Paulo,school,14539,0.850471146571291,0.02152830318453814,0.0,0.02152830318453814,1,4,source_confidence_ge_0p6
Shanghai,health,308,1.0,0.5844155844155844,0.9025974025974026,0.9967532467532467,1,4,source_confidence_ge_0p6
Shanghai,school,273,0.989010989010989,0.6703296703296703,0.8901098901098901,0.9853479853479854,1,4,source_confidence_ge_0p6
Tokyo,health,33742,0.9945468555509455,0.14044810621777012,0.0,0.13831426708553138,1,4,source_confidence_ge_0p6
Tokyo,school,14149,0.9944872429146936,0.17110749876316347,0.0,0.16799773835606757,1,4,source_confidence_ge_0p6
Accra,health,650,0.6538461538461539,0.0,0.0,0.0,1,5,all_classes
Accra,school,1093,0.7346752058554438,0.007319304666056725,0.0,0.0,1,5,all_classes
Bangkok,health,17751,0.9851275984451581,0.4890992056785533,0.0,0.47462114810433215,1,5,all_classes
Bangkok,school,8528,0.9807692307692307,0.6281660412757973,0.0,0.6091697936210131,1,5,all_classes
Bogota,health,6016,0.0,0.010804521276595746,0.0,0.0,1,5,all_classes
Bogota,school,4156,0.0,0.02045235803657363,0.0,0.0,1,5,all_classes
Buenos Aires,health,8455,1.0,0.11437019515079834,0.0,0.11437019515079834,1,5,all_classes
Buenos Aires,school,7461,1.0,0.18147701380511996,0.0,0.18147701380511996,1,5,all_classes
Cairo,health,13119,1.0,0.08971720405518713,0.0,0.08971720405518713,1,5,all_classes
Cairo,school,4793,1.0,0.11516795326517838,0.0,0.11516795326517838,1,5,all_classes
Delhi,health,19986,1.0,0.19248473931752227,0.0,0.19248473931752227,1,5,all_classes
Delhi,school,14319,1.0,0.27320343599413366,0.0,0.27320343599413366,1,5,all_classes
Dhaka,health,4485,1.0,0.20735785953177258,0.0,0.20735785953177258,1,5,all_classes
Dhaka,school,4469,1.0,0.30230476616692775,0.0,0.30230476616692775,1,5,all_classes
Ho Chi Minh City,health,9935,0.9991947659788626,0.1634625062908908,0.0,0.16295923502767992,1,5,all_classes
Ho Chi Minh City,school,10476,0.9992363497518136,0.22957235586101565,0.0,0.2290950744558992,1,5,all_classes
Houston,health,18210,1.0,0.19890170236133992,0.0,0.19890170236133992,1,5,all_classes
Houston,school,5477,1.0,0.1163045462844623,0.0,0.1163045462844623,1,5,all_classes
Istanbul,health,17477,0.9995994735938663,0.004234136293414201,0.0,0.00411970017737598,1,5,all_classes
Istanbul,school,12292,0.9986169866579889,0.005369345916042954,0.0,0.005043931012040351,1,5,all_classes
Jakarta,health,11275,0.864390243902439,0.03121951219512195,0.0,0.012328159645232817,1,5,all_classes
Jakarta,school,17134,0.8296369791058714,0.04202171121746236,0.0,0.02007703980389868,1,5,all_classes
Johannesburg,health,4529,0.0,0.0,0.0,0.0,1,5,all_classes
Johannesburg,school,9580,0.0,0.0,0.0,0.0,1,5,all_classes
Karachi,health,1769,0.8745053702656869,0.055398530243075186,0.0,0.016958733747880157,1,5,all_classes
Karachi,school,2572,0.9350699844479005,0.04121306376360809,0.0,0.017107309486780714,1,5,all_classes
Kolkata,health,8410,1.0,0.2923900118906064,0.0,0.2923900118906064,1,5,all_classes
Kolkata,school,7065,1.0,0.2655343241330502,0.0,0.2655343241330502,1,5,all_classes
Lagos,health,1303,0.6876438986953185,0.07828089025326171,0.0,0.019953952417498082,1,5,all_classes
Lagos,school,3101,0.7520154788777813,0.0780393421476943,0.0,0.02708803611738149,1,5,all_classes
Lima,health,11872,0.0,0.006485849056603774,0.0,0.0,1,5,all_classes
Lima,school,9155,0.0,0.013107591480065538,0.0,0.0,1,5,all_classes
London,health,16129,0.0,0.05015810031620063,0.0,0.0,1,5,all_classes
London,school,12093,0.0,0.06755974530720252,0.0,0.0,1,5,all_classes
Los Angeles,health,24749,0.6000242434037739,0.06416420865489515,0.0,0.04949694937169179,1,5,all_classes
Los Angeles,school,7249,0.718581873361843,0.11187750034487516,0.0,0.09394399227479652,1,5,all_classes
Madrid,health,8573,1.0,0.0009331622535868425,0.0,0.0009331622535868425,1,5,all_classes
Madrid,school,4763,1.0,0.0018895653999580096,0.0,0.0018895653999580096,1,5,all_classes
Manila,health,18365,0.8476994282602777,0.211707051456575,0.0,0.17821943915055813,1,5,all_classes
Manila,school,10302,0.8381867598524558,0.2145214521452145,0.0,0.16967579110852263,1,5,all_classes
Mexico City,health,25048,0.0,0.08771159374001916,0.0,0.0,1,5,all_classes
Mexico City,school,14632,0.0,0.12158283214871514,0.0,0.0,1,5,all_classes
Miami,health,9433,0.3424149263224849,0.054595568748012295,0.0,0.0005300540655146825,1,5,all_classes
Miami,school,2377,0.33529659234328985,0.013462347496844763,0.0,0.002103491796381994,1,5,all_classes
Nairobi,health,1716,0.0,0.0005827505827505828,0.0,0.0,1,5,all_classes
Nairobi,school,1757,0.0,0.0011383039271485487,0.0,0.0,1,5,all_classes
New York City,health,36487,0.9998903719132842,0.06007619152026749,0.0,0.06007619152026749,1,5,all_classes
New York City,school,11968,0.9998328877005348,0.07469919786096256,0.0,0.07469919786096256,1,5,all_classes
Paris,health,8426,0.9937099454070734,0.08711132209826727,0.0,0.08687396154759079,1,5,all_classes
Paris,school,7355,0.9917063222297756,0.10237933378653977,0.0,0.10224337185588035,1,5,all_classes
Rome,health,6181,1.0,0.08590842905678693,0.0,0.08590842905678693,1,5,all_classes
Rome,school,2986,1.0,0.12424648359008707,0.0,0.12424648359008707,1,5,all_classes
Rotterdam,health,2882,0.6519777931991673,0.48056904927133937,0.0,0.28348369188063843,1,5,all_classes
Rotterdam,school,2339,0.639162035057717,0.5352714835399743,0.0,0.30055579307396324,1,5,all_classes
Sao Paulo,health,36921,0.9166598954524525,0.016061320115923188,0.0,0.016034235259066654,1,5,all_classes
Sao Paulo,school,17716,0.8558365319485212,0.021223752540076767,0.0,0.02116730638970422,1,5,all_classes
Shanghai,health,341,1.0,0.5806451612903226,0.0,0.5806451612903226,1,5,all_classes
Shanghai,school,305,0.9868852459016394,0.6622950819672131,0.0,0.6491803278688525,1,5,all_classes
Tokyo,health,38519,0.9945741062852099,0.14231937485396817,0.0,0.1401905553103663,1,5,all_classes
Tokyo,school,15256,0.9947561615102255,0.1662952281069743,0.0,0.16334556895647614,1,5,all_classes
Accra,health,413,0.6416464891041163,0.0,0.0,0.0,1,5,school_all_health_core
Accra,school,1093,0.7346752058554438,0.007319304666056725,0.0,0.0,1,5,school_all_health_core
Bangkok,health,12397,0.9857223521819796,0.46487053319351457,0.0,0.45091554408324597,1,5,school_all_health_core
Bangkok,school,8528,0.9807692307692307,0.6281660412757973,0.0,0.6091697936210131,1,5,school_all_health_core
Bogota,health,3037,0.0,0.007243990780375371,0.0,0.0,1,5,school_all_health_core
Bogota,school,4156,0.0,0.02045235803657363,0.0,0.0,1,5,school_all_health_core
Buenos Aires,health,5153,1.0,0.11410828643508636,0.0,0.11410828643508636,1,5,school_all_health_core
Buenos Aires,school,7461,1.0,0.18147701380511996,0.0,0.18147701380511996,1,5,school_all_health_core
Cairo,health,7536,1.0,0.09607218683651805,0.0,0.09607218683651805,1,5,school_all_health_core
Cairo,school,4793,1.0,0.11516795326517838,0.0,0.11516795326517838,1,5,school_all_health_core
Delhi,health,13667,1.0,0.17926392039218556,0.0,0.17926392039218556,1,5,school_all_health_core
Delhi,school,14319,1.0,0.27320343599413366,0.0,0.27320343599413366,1,5,school_all_health_core
Dhaka,health,2661,1.0,0.20105223600150318,0.0,0.20105223600150318,1,5,school_all_health_core
Dhaka,school,4469,1.0,0.30230476616692775,0.0,0.30230476616692775,1,5,school_all_health_core
Ho Chi Minh City,health,5241,0.9990459835909178,0.14920816638046175,0.0,0.14844495325319595,1,5,school_all_health_core
Ho Chi Minh City,school,10476,0.9992363497518136,0.22957235586101565,0.0,0.2290950744558992,1,5,school_all_health_core
Houston,health,13094,1.0,0.20727050557507254,0.0,0.20727050557507254,1,5,school_all_health_core
Houston,school,5477,1.0,0.1163045462844623,0.0,0.1163045462844623,1,5,school_all_health_core
Istanbul,health,12725,0.9995284872298624,0.004086444007858546,0.0,0.003929273084479371,1,5,school_all_health_core
Istanbul,school,12292,0.9986169866579889,0.005369345916042954,0.0,0.005043931012040351,1,5,school_all_health_core
Jakarta,health,7963,0.867261082506593,0.03453472309431119,0.0,0.013185985181464271,1,5,school_all_health_core
Jakarta,school,17134,0.8296369791058714,0.04202171121746236,0.0,0.02007703980389868,1,5,school_all_health_core
Johannesburg,health,2814,0.0,0.0,0.0,0.0,1,5,school_all_health_core
Johannesburg,school,9580,0.0,0.0,0.0,0.0,1,5,school_all_health_core
Karachi,health,1230,0.8869918699186992,0.05040650406504065,0.0,0.013821138211382113,1,5,school_all_health_core
Karachi,school,2572,0.9350699844479005,0.04121306376360809,0.0,0.017107309486780714,1,5,school_all_health_core
Kolkata,health,5028,1.0,0.31742243436754175,0.0,0.31742243436754175,1,5,school_all_health_core
Kolkata,school,7065,1.0,0.2655343241330502,0.0,0.2655343241330502,1,5,school_all_health_core
Lagos,health,876,0.6883561643835616,0.07420091324200913,0.0,0.0228310502283105,1,5,school_all_health_core
Lagos,school,3101,0.7520154788777813,0.0780393421476943,0.0,0.02708803611738149,1,5,school_all_health_core
Lima,health,5829,0.0,0.0053182364041859664,0.0,0.0,1,5,school_all_health_core
Lima,school,9155,0.0,0.013107591480065538,0.0,0.0,1,5,school_all_health_core
London,health,9847,0.0,0.047933380725093934,0.0,0.0,1,5,school_all_health_core
London,school,12093,0.0,0.06755974530720252,0.0,0.0,1,5,school_all_health_core
Los Angeles,health,17724,0.5800045136538028,0.053656059580230196,0.0,0.04214624238320921,1,5,school_all_health_core
Los Angeles,school,7249,0.718581873361843,0.11187750034487516,0.0,0.09394399227479652,1,5,school_all_health_core
Madrid,health,4532,1.0,0.0011032656663724624,0.0,0.0011032656663724624,1,5,school_all_health_core
Madrid,school,4763,1.0,0.0018895653999580096,0.0,0.0018895653999580096,1,5,school_all_health_core
Manila,health,8861,0.8518225933867509,0.20810292292066357,0.0,0.17266674190271977,1,5,school_all_health_core
Manila,school,10302,0.8381867598524558,0.2145214521452145,0.0,0.16967579110852263,1,5,school_all_health_core
